운행일자,운수회사코드,자동차등록번호,사업자등록번호,차대번호,자동차유형코드,운행기록장치모델명,자료제출일시,접수번호,수집파일코드,시동ON일시,시동OFF일시,시작GPS X좌표,시작GPS Y좌표,종료GPS X좌표,종료GPS Y좌표,TRIP운행거리,누적운행거리,평균운행속도,최고속도,TRIP운행시간,장기운행유무,운행중정지건수,운행중정지시간,운행중정지비율,운행중주행시간,제동건수,제동시간,최고RPM,평균RPM,2000RPM초과시간,2500RPM초과시간,공회전건수,공회전시간,과속건수20Km초과,과속시간20Km초과,과속건수25Km초과,과속시간25Km초과,과속건수30Km초과,과속시간30Km초과,과속건수35Km초과,과속시간35Km초과,과속건수40Km초과,과속시간40Km초과,과속건수45Km초과,과속시간45Km초과,과속건수50Km초과,과속시간50Km초과,과속건수55Km초과,과속시간55Km초과,과속건수60Km초과,과속시간60Km초과,장기과속건수,장기과속시간,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,중립기어건수,중립기어시간,운수회사소재지코드
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,76ea412a5e40fb22b1b4a8bcd012aa2113e23f378d382747ccc3ab2ca214657e,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.96152,37.52194,126.957115,37.51525,310,432980,17.92,65,62261,1,854,18256,29.32,44005,0,0,1700,924,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,5,15,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,a82f8a5a333ccbb5a8405ea5ea8581bd39d71d9f70a5f7f73ff8a1bd373b3ec7,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.80014,37.57623,126.97401,37.55396,213,441457,17.41,61,44038,1,604,13342,30.3,30696,0,0,1800,924,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,3,0,0,7,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,bd38c8d490c9a9c897eea3be97b9702a26ebf653db110ad35b3779ad30eeb84e,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.83771,37.55864,126.97531,37.54555,248,4839,16.05,60,55641,1,758,18088,32.51,37553,0,0,1594,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,4,0,1,11,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,1d7b183950aad9f75d13823b0de74fe7cea55f5bbf2081e591c5579c8b53fb34,***81*****,KMJTA18G,11,"DT-202,6.01.08",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79926,37.576702,126.799126,37.576748,278,96086,16.53,57,60561,1,820,17288,28.55,43273,0,0,1282,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,23,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,967f5538094940aced1160b95f07b61e4fe9fb7927451c2595aab4f8a87a7bc3,***81*****,KMJTA18G,11,"DT-202,6.01.39",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79915,37.57666,126.79903,37.576733,283,1850,16.6,58,61362,1,867,19628,31.99,41734,0,0,1368,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,5,0,0,31,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,a279cbe974b8f7af5b7ef73095ef315baecf02515ac3906d157a41418af1f13e,***81*****,KMJTA18G,11,"DT-202,6.01.08",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79916,37.57677,126.79919,37.57677,279,95204,16.58,57,60567,1,867,19375,31.99,41192,0,0,1577,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,4,0,0,25,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,50416a1daaadc579ecd7736c635fe23ea0da6569aa6ce02733c41fae50328c97,***81*****,KMJTA18G,11,"DT-202,6.01.05",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79923,37.576794,126.79934,37.576736,282,84020,16.23,56,62564,1,897,19846,31.72,42718,0,0,1738,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,14,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,0e42488067ce59263a6d8dd0130e111fc46c58e0f6540a00374e9128d044db87,***81*****,KMJTA18G,11,"DT-202,5.07.15",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79905,37.57668,126.79895,37.576706,167,189592,16.15,56,37220,1,504,12892,34.64,24328,0,0,1434,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,3,2,0,55,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,ec59ac41d61b3a3baeab5b20e601417e8211f2307740e559058db7f7aad33e98,***81*****,KMJTA18G,11,"DT-201A,4.04.26,0K",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.79949,37.576767,126.79947,37.57676,300,69529,17.75,62,60857,1,813,18853,30.98,42004,0,0,1600,924,0,0,1,43,7,24,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,4,0,0,7,0,0,1150011000
20180710,ecb4eba1d74925c37184e65dd786a93fbcf155142ddc4eac3003c1e60ff3d559,4156bc96eb3b2a9a7b2ac4724552cfdc51459559506bf587f2e134f64141f2db,***81*****,KMJTA18G,11,"DT-202,5.07.23",2.01807E+13,2.01807E+13,2.01807E+14,2.01807E+13,2.01807E+13,126.86078,37.561386,126.81658,37.570984,238,21412,15.94,61,53737,1,797,15487,28.82,38250,0,0,1580,877,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,0,5,0,0,1150011000
