평가일자,업종코드,분기코드,계절코드,요일코드,과속건수20키로미터초과,장기과속건수,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수,위험운전행동건수,운행거리,생성일시
2020-07-08,11,3,2,4,407621,32,1268329,3830,1000667,251490,385256,249776,109606,106147,545121,4327875,7821687,2023-08-01
2020-07-08,12,3,2,4,64929,0,22312,4,36722,13125,27210,18085,6529,2352,12447,203715,523138,2023-08-01
2020-07-08,13,3,2,4,31954,0,260812,215,116765,77726,46940,27774,9272,14852,44148,630458,813106,2023-08-01
2020-07-08,14,3,2,4,115340,2,41758,59,21470,6638,12987,12017,4107,2732,15677,232787,1708170,2023-08-01
2020-07-08,15,3,2,4,16101,0,3491,23,2708,67,3010,1217,1467,189,1843,30116,535902,2023-08-01
2020-07-08,16,3,2,4,299825,0,777834,417,161140,82694,61831,42163,6450,27076,73226,1532656,2738022,2023-08-01
2020-07-08,17,3,2,4,2563,0,4314,1,1742,312,387,404,258,237,976,11194,31447,2023-08-01
2020-07-08,21,3,2,4,1179521,0,2038512,7536,176413,130008,156428,122400,19791,135066,101332,4067007,6031297,2023-08-01
2020-07-08,22,3,2,4,8844,0,6296,25,731,309,510,318,68,435,625,18161,38044,2023-08-01
2020-07-08,31,3,2,4,625993,13,1071307,5051,509482,250380,96477,101760,25340,70527,316813,3073143,8198055,2023-08-01
2020-07-08,32,3,2,4,12983,0,39031,78,19762,3919,2376,2610,437,1286,8795,91277,203232,2023-08-01
2020-07-08,41,3,2,4,2757,0,6015,4,2607,495,675,480,34,277,706,14050,12837,2023-08-01
2020-07-08,42,3,2,4,3000,0,10921,1,2136,1103,886,639,59,200,745,19690,41307,2023-08-01
2020-07-09,11,3,2,5,393034,29,1230876,3563,965280,247741,379505,245955,110226,104777,554074,4235060,7777064,2023-08-01
2020-07-09,12,3,2,5,65081,0,22818,4,35106,12613,27682,18212,6861,2486,13031,203894,523295,2023-08-01
2020-07-09,13,3,2,5,31576,0,253064,309,117263,86139,46135,27334,9771,14567,44453,630611,813653,2023-08-01
2020-07-09,14,3,2,5,113865,0,40455,67,21385,6511,12996,11826,4193,2719,16287,230304,1722509,2023-08-01
2020-07-09,15,3,2,5,15931,0,3262,22,2590,64,2238,1029,1107,188,1731,28162,538696,2023-08-01
2020-07-09,16,3,2,5,302109,0,755398,499,156424,83613,61349,41372,6566,26737,74172,1508239,2796512,2023-08-01
2020-07-09,17,3,2,5,2504,0,4215,1,1845,290,432,476,207,288,1026,11284,28468,2023-08-01
2020-07-09,21,3,2,5,1180884,0,2017605,7512,172136,129507,155686,122884,20122,136367,104341,4047044,6158026,2023-08-01
2020-07-09,22,3,2,5,8787,0,5907,17,806,340,472,313,67,477,875,18061,37178,2023-08-01
2020-07-09,31,3,2,5,632584,8,1082636,5124,514531,254857,97689,104212,26506,71261,328911,3118319,8321444,2023-08-01
2020-07-09,32,3,2,5,13921,0,39167,83,19299,3610,2467,2760,437,1567,8736,92047,205819,2023-08-01
2020-07-09,41,3,2,5,2779,0,6163,2,2544,501,675,486,44,236,603,14033,12881,2023-08-01
2020-07-09,42,3,2,5,3060,0,10566,0,1950,1033,870,625,59,180,774,19117,40179,2023-08-01
2020-07-10,11,3,2,6,387921,16,1278864,3952,906798,230052,372891,244705,108502,108481,566345,4208527,7778858,2023-08-01
2020-07-10,12,3,2,6,63195,0,24479,9,33305,12422,26492,17525,6516,2574,13722,200239,527652,2023-08-01
2020-07-10,13,3,2,6,29617,0,244917,143,104426,69171,45242,26633,9658,14622,44386,588815,812841,2023-08-01
2020-07-10,14,3,2,6,114745,1,41521,69,19749,6590,12729,11652,4108,2986,17299,231449,1772988,2023-08-01
2020-07-10,15,3,2,6,17291,0,3782,22,2909,62,3020,1037,1501,217,1965,31806,590773,2023-08-01
2020-07-10,16,3,2,6,287583,0,742750,433,140006,79585,57132,39420,6649,26950,76631,1457139,2831872,2023-08-01
2020-07-10,17,3,2,6,2332,0,4210,1,1723,339,340,399,195,265,931,10735,27731,2023-08-01
2020-07-10,21,3,2,6,1132308,1,2014346,7299,162921,132001,150543,119048,20076,141886,112052,3992481,6372061,2023-08-01
2020-07-10,22,3,2,6,9144,0,6563,19,702,341,555,307,66,518,527,18742,38892,2023-08-01
2020-07-10,31,3,2,6,576474,8,1018427,4863,472854,213670,89798,95417,24959,69293,326184,2891947,7681736,2023-08-01
2020-07-10,32,3,2,6,12305,0,34377,67,16685,3799,2022,2373,298,1456,7949,81331,178206,2023-08-01
2020-07-10,41,3,2,6,2806,0,6385,3,2645,1142,614,451,35,248,928,15257,14921,2023-08-01
2020-07-10,42,3,2,6,2700,0,10250,2,1759,1006,843,606,38,172,715,18091,39442,2023-08-01
2020-07-11,11,3,2,7,366490,40,1110007,3562,837531,200705,335156,219224,95344,91970,479480,3739509,6772862,2023-08-01
2020-07-11,12,3,2,7,64328,0,21525,10,33445,12894,26249,17387,6213,2266,12305,196622,509882,2023-08-01
2020-07-11,13,3,2,7,26240,0,184992,135,86314,54896,37073,22361,7831,10915,34498,465255,662056,2023-08-01
2020-07-11,14,3,2,7,119829,0,40661,29,20395,5062,12710,12144,4251,2754,15531,233366,1786135,2023-08-01
2020-07-11,15,3,2,7,19290,0,3439,23,2864,88,3803,1315,1796,229,2187,35034,612075,2023-08-01
2020-07-11,16,3,2,7,168072,0,246314,139,58429,29147,22540,16932,2781,9046,27282,580682,1574200,2023-08-01
2020-07-11,17,3,2,7,1840,0,3326,5,1499,306,261,288,169,225,629,8548,18308,2023-08-01
2020-07-11,21,3,2,7,1511836,1,2357655,7911,207310,136287,189662,149629,23331,157095,112298,4853015,6801576,2023-08-01
2020-07-11,22,3,2,7,10465,1,7154,20,724,310,637,353,85,517,728,20994,39615,2023-08-01
2020-07-11,31,3,2,7,349556,4,616339,2775,290563,130459,61319,66357,15228,47322,178220,1758142,4264367,2023-08-01
2020-07-11,32,3,2,7,7040,0,14296,62,6890,1547,1269,1450,186,662,3384,36786,99384,2023-08-01
2020-07-11,41,3,2,7,3209,0,5942,2,2534,503,729,528,40,230,530,14247,13781,2023-08-01
2020-07-11,42,3,2,7,188,0,393,0,81,34,35,33,3,7,42,816,3077,2023-08-01
2020-07-12,11,3,2,1,331517,32,1051745,3184,612021,148667,302624,203827,89131,83432,474085,3300265,6309557,2023-08-01
2020-07-12,12,3,2,1,54969,0,20854,2,23918,9913,24719,16701,5975,2267,14339,173657,505879,2023-08-01
2020-07-12,13,3,2,1,20578,2,139721,63,58237,44189,30182,19832,7061,8904,32118,360887,576490,2023-08-01
2020-07-12,14,3,2,1,117665,0,40825,51,15456,5059,12169,12541,6318,2912,17284,230280,1792590,2023-08-01
2020-07-12,15,3,2,1,17584,0,3347,36,1956,43,3407,1366,1666,233,2154,31792,602852,2023-08-01
2020-07-12,16,3,2,1,139639,1,172613,82,36255,20443,15456,12611,2170,6709,24325,430304,1408849,2023-08-01
2020-07-12,17,3,2,1,2284,0,2859,2,1291,203,180,229,129,147,474,7798,13115,2023-08-01
2020-07-12,21,3,2,1,1310978,4,1922067,6149,160061,107636,160710,133833,20470,139964,111973,4073845,6151630,2023-08-01
2020-07-12,22,3,2,1,6720,0,5000,15,454,171,424,266,48,450,740,14288,32604,2023-08-01
2020-07-12,31,3,2,1,153947,17,226002,1274,116109,70341,21048,24929,6851,31011,86928,738457,1852844,2023-08-01
2020-07-12,32,3,2,1,2800,1,5233,11,2553,380,413,541,59,339,1718,14048,50531,2023-08-01
2020-07-12,41,3,2,1,1925,0,3992,0,1662,260,399,346,30,211,510,9335,11182,2023-08-01
2020-07-12,42,3,2,1,193,0,251,0,74,21,22,20,1,4,21,607,2404,2023-08-01
2020-07-13,11,3,2,2,350603,29,1436726,3905,762402,205474,356584,238277,110127,110660,592027,4166814,7708641,2023-08-01
2020-07-13,12,3,2,2,56110,0,26966,26,28704,11525,24719,16374,6188,2558,14067,187237,515071,2023-08-01
2020-07-13,13,3,2,2,25017,0,255032,168,85856,62223,39833,24326,9538,14621,45649,562263,801736,2023-08-01
2020-07-13,14,3,2,2,105414,0,44874,80,15335,18655,11902,10799,6107,3531,17868,234565,1746092,2023-08-01
2020-07-13,15,3,2,2,15507,0,3391,34,1967,62,2590,1023,1220,178,1928,27900,546321,2023-08-01
2020-07-13,16,3,2,2,248825,0,738020,401,112316,70266,48632,35825,6354,25212,81117,1366968,2673776,2023-08-01
2020-07-13,17,3,2,2,2124,0,3785,2,1290,304,391,422,217,235,1011,9781,24789,2023-08-01
2020-07-13,21,3,2,2,754396,0,1517741,5667,105245,105948,112054,92899,16387,120433,103970,2934740,5316086,2023-08-01
2020-07-13,22,3,2,2,6502,0,5552,10,516,312,373,226,48,447,679,14665,35304,2023-08-01
2020-07-13,31,3,2,2,474062,38,884373,4577,371079,197675,74624,79521,22940,63576,326511,2498976,6917287,2023-08-01
2020-07-13,32,3,2,2,8801,0,24326,51,9705,2482,1544,1754,307,934,6921,56825,150362,2023-08-01
2020-07-13,41,3,2,2,1828,0,5245,3,2013,133,435,337,27,320,935,11276,11790,2023-08-01
2020-07-13,42,3,2,2,2509,0,10885,0,1442,1047,713,558,60,216,837,18267,39280,2023-08-01
2020-07-14,11,3,2,3,390545,31,1427883,4028,911131,232779,375499,246699,109765,112140,572847,4383347,7715325,2023-08-01
2020-07-14,12,3,2,3,60976,0,24733,12,31812,11423,26570,16896,6814,2418,12717,194371,509817,2023-08-01
2020-07-14,13,3,2,3,29906,0,241009,124,100554,65639,44916,26296,9779,13940,41515,573678,795915,2023-08-01
2020-07-14,14,3,2,3,114058,0,46242,64,19397,4538,13073,12263,8902,2982,16387,237906,1738221,2023-08-01
2020-07-14,15,3,2,3,15405,0,3640,25,2070,63,2565,1051,1212,180,1586,27797,523276,2023-08-01
2020-07-14,16,3,2,3,281160,0,755418,421,134055,81879,55736,39038,6416,26002,74226,1454351,2695396,2023-08-01
2020-07-14,17,3,2,3,2220,0,3798,3,1520,424,292,388,177,287,900,10009,27259,2023-08-01
2020-07-14,21,3,2,3,954353,10,1740036,6425,133776,119024,130946,106144,17887,129052,105301,3442954,5666199,2023-08-01
2020-07-14,22,3,2,3,8493,0,6015,30,612,352,483,330,63,413,855,17646,38851,2023-08-01
2020-07-14,31,3,2,3,487869,9,874912,3714,382254,203025,79467,83867,24020,63705,309688,2512530,7553601,2023-08-01
2020-07-14,32,3,2,3,12579,0,35625,79,15801,3031,2268,2538,420,1296,8310,81947,193950,2023-08-01
2020-07-14,41,3,2,3,2711,0,5729,2,2235,548,545,424,26,250,497,12967,12485,2023-08-01
2020-07-14,42,3,2,3,1061,0,3235,1,581,4979,351,348,240,118,260,11174,24539,2023-08-01
2020-07-15,11,3,2,4,390012,26,1375851,3791,921029,237441,375321,246567,109916,111040,561634,4332628,7719645,2023-08-01
2020-07-15,12,3,2,4,63332,0,25096,20,33244,13783,25312,17146,6601,2601,12665,199800,515865,2023-08-01
2020-07-15,13,3,2,4,31014,0,236798,139,104617,64785,45407,26243,9855,13631,40994,573483,794271,2023-08-01
2020-07-15,14,3,2,4,115342,0,47274,73,21564,13561,13481,12142,8343,3404,16912,252096,1750001,2023-08-01
2020-07-15,15,3,2,4,15771,0,3589,42,2357,69,2602,1111,1236,178,1876,28831,525136,2023-08-01
2020-07-15,16,3,2,4,293793,0,777841,452,149659,83682,58677,40828,6673,27039,74118,1512762,2770817,2023-08-01
2020-07-15,17,3,2,4,2323,0,3830,2,1570,629,355,438,198,284,868,10497,28070,2023-08-01
2020-07-15,21,3,2,4,1085313,1,1896868,6877,156068,127201,142532,113841,19279,134928,103416,3786324,5842495,2023-08-01
2020-07-15,22,3,2,4,7573,0,5639,17,578,311,444,272,73,464,567,15938,36670,2023-08-01
2020-07-15,31,3,2,4,523563,13,973993,4573,446104,215786,86202,90562,28362,68746,332263,2770167,7979589,2023-08-01
2020-07-15,32,3,2,4,13947,0,37727,106,17986,4053,2232,2568,499,1596,10110,90824,216534,2023-08-01
2020-07-15,41,3,2,4,2719,0,5906,4,2491,531,620,421,24,268,933,13917,12754,2023-08-01
2020-07-15,42,3,2,4,915,0,2958,2,504,4302,348,264,213,89,232,9827,21125,2023-08-01
2020-07-16,11,3,2,5,398612,32,1316569,3611,977628,244424,382626,249288,110410,111138,558036,4352374,7722587,2023-08-01
2020-07-16,12,3,2,5,64298,0,22189,16,34984,14005,25787,16863,6412,2384,12890,199828,516260,2023-08-01
2020-07-16,13,3,2,5,31777,1,227226,114,105163,71360,46380,27144,10126,13389,41199,573879,792958,2023-08-01
2020-07-16,14,3,2,5,117313,0,46642,44,23254,8254,14025,12667,9061,3327,17272,251859,1740071,2023-08-01
