운행기록데이터 바디 항목,일일주행거리(KM),누적운행거리(KM),정보발생일시,운행속도(KMH),RPM,브레이크신호,시작GPS(X좌표),시작GPS(Y좌표),GPS방위각,가속도 Vx,가속도 Vy,통신상태코드,운행지역코드
운행기록데이터 바디,7,97703,2025020608283200,0,648,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283300,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283400,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283500,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283600,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283700,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283800,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608283900,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284000,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284100,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284200,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284300,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284400,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284500,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284600,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284700,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284800,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608284900,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285000,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285100,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285200,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285300,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285400,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285500,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285600,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285700,0,649,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285800,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608285900,0,650,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608290000,0,643,1,126888728,37651092,148,1.2,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608290100,0,696,1,126888728,37651092,148,1.8,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608290200,0,845,0,126888728,37651092,148,4.9,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608290300,0,1194,0,126888728,37651092,148,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608290400,1,1591,0,126888728,37651092,148,2.5,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608290500,3,1204,0,126888728,37651092,148,3.1,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608290600,5,1346,0,126888728,37651092,148,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608290700,9,1511,0,126888728,37651092,148,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608290800,13,1065,0,126888776,37651028,162,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608290900,17,944,0,126888816,37650932,157,4.9,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608291000,19,1028,0,126888832,37650876,157,3.7,1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608291100,20,1162,0,126888856,37650820,160,2.5,0.0,0,4128111100
운행기록데이터 바디,7,97703,2025020608291200,22,1136,1,126888872,37650760,162,-0.6,-0.6,0,4128111100
운행기록데이터 바디,7,97703,2025020608291300,23,1050,0,126888904,37650700,158,0.0,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608291400,23,1002,0,126888920,37650652,160,-4.9,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608291500,22,996,0,126888952,37650612,156,3.7,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608291600,21,1102,0,126888976,37650568,155,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608291700,22,1271,0,126889000,37650520,159,3.1,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608291800,24,1472,0,126889040,37650460,158,3.1,2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608291900,27,1603,0,126889080,37650388,155,-4.9,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608292000,31,1582,0,126889136,37650308,156,4.9,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608292100,34,1153,0,126889176,37650224,155,4.9,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608292200,35,983,0,126889224,37650136,156,3.7,-3.1,0,4128111100
운행기록데이터 바디,7,97703,2025020608292300,35,975,0,126889280,37650044,156,4.9,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608292400,36,1028,0,126889328,37649956,156,3.1,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608292500,37,1053,0,126889384,37649868,156,-2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608292600,39,1033,0,126889440,37649772,155,8.6,-2.5,0,4128111100
운행기록데이터 바디,7,97703,2025020608292700,39,1042,0,126889504,37649680,154,4.9,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608292800,39,1088,0,126889552,37649584,155,2.5,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608292900,40,1164,0,126889600,37649492,156,1.8,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608293000,42,1221,0,126889656,37649392,155,1.8,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608293100,44,1192,1,126889712,37649288,155,-1.2,-1.2,0,4128111100
운행기록데이터 바디,7,97703,2025020608293200,45,1116,1,126889768,37649184,155,-1.8,-1.8,0,4128111100
운행기록데이터 바디,7,97703,2025020608293300,44,1026,1,126889824,37649084,154,-1.8,-1.8,0,4128111100
운행기록데이터 바디,8,97703,2025020608293400,41,946,1,126889880,37649000,154,-1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608293500,37,1144,1,126889920,37648916,153,-1.8,-0.6,0,4128111100
운행기록데이터 바디,8,97703,2025020608293600,33,1144,1,126889960,37648844,152,-4.9,-2.5,0,4128111100
운행기록데이터 바디,8,97703,2025020608293700,29,1040,0,126890000,37648784,151,3.7,-2.5,0,4128111100
운행기록데이터 바디,8,97703,2025020608293800,25,1009,1,126890032,37648736,152,0.0,-0.6,0,4128111200
운행기록데이터 바디,8,97703,2025020608293900,22,937,1,126890056,37648688,154,-1.2,-1.2,0,4128111200
운행기록데이터 바디,8,97703,2025020608294000,21,825,1,126890072,37648644,156,-1.8,1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608294100,19,740,1,126890088,37648596,160,-1.2,1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608294200,18,697,0,126890104,37648556,169,-3.1,1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608294300,16,691,0,126890096,37648516,178,-1.8,1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608294400,15,739,0,126890040,37648504,231,-1.8,1.8,0,4128111200
운행기록데이터 바디,8,97703,2025020608294500,15,870,0,126889984,37648488,251,1.8,-1.2,0,4128111100
운행기록데이터 바디,8,97703,2025020608294600,16,1060,0,126889920,37648480,257,2.5,-1.2,0,4128111100
